===== ANALYSIS REPORT FOR: lalaland.txt =====
Phrase/Word               Category             Severity   Count     
disgraceful               harassment           3          1         
f'king                    sexual_toxicity      3          1         
testicles                 sexual_toxicity      3          1         
braindead                 harassment           3          1         
threats                   harassment           3          1         
torture                   harassment           3          1         
freaks                    harassment           3          1         
troll                     harassment           3          1         
ridicule                  harassment           3          1         
vermin                    harassment           3          1         
freaking                  general_toxicity     3          1         
ridiculously              harassment           3          1         
pathetic                  harassment           2          110       
ill                       general_toxicity     2          78        
ugly                      harassment           2          68        
sick                      harassment           2          56        
garbage                   general_toxicity     2          38        
filthy                    general_toxicity     2          36        
dumb                      harassment           2          31        
abused                    violent_speech       2          29        
vile                      general_toxicity     2          28        
narrowminded              general_toxicity     2          25        
narrow minded             general_toxicity     2          25        
repulsive                 general_toxicity     2          23        
terrible                  general_toxicity     2          22        
damn                      general_toxicity     2          21        
crap                      general_toxicity     2          20        
miserable                 general_toxicity     2          17        
lazy                      general_toxicity     2          12        
filth                     general_toxicity     2          12        
selfish                   harassment           2          12        
oppressive                harassment           2          11        
shitty                    general_toxicity     2          11        
crazy                     ableism              2          10        
queer                     sexual_identity      2          9         
boobs                     sexual_toxicity      2          9         
evil                      general_toxicity     2          7         
jerk                      harassment           2          7         
rot                       general_toxicity     2          7         
kick                      general_toxicity     2          6         
hopeless                  harassment           2          6         
dirty                     general_toxicity     2          6         
ruining                   general_toxicity     2          6         
gross                     general_toxicity     2          6         
mad                       general_toxicity     2          5         
balls                     general_toxicity     2          5         
kicking                   general_toxicity     2          4         
eradicated                violent_speech       2          4         
addict                    general_toxicity     2          4         
insecure                  general_toxicity     2          4         
burn                      violent_speech       2          4         
burning                   violent_speech       2          4         
kicked                    general_toxicity     2          4         
rotten                    general_toxicity     2          4         
messed                    general_toxicity     2          4         
pesky                     harassment           2          3         
scum                      harassment           2          3         
ungrateful                harassment           2          3         
mediocre                  general_toxicity     2          3         
vengeful                  general_toxicity     2          3         
hairy                     general_toxicity     2          3         
jerks                     harassment           2          3         
creepy                    harassment           2          3         
screwed                   harassment           2          2         
fools                     general_toxicity     2          2         
hypocrite                 harassment           2          2         
anus                      sexual_toxicity      2          2         
vicious                   general_toxicity     2          2         
supremacist               hate_speech          2          2         
naked                     sexual_reference     2          2         
fake                      general_toxicity     2          2         
zombie                    general_toxicity     2          2         
rubbish                   general_toxicity     2          1         
screwing                  harassment           2          1         
crappy                    general_toxicity     2          1         
damned                    general_toxicity     2          1         
shameless                 harassment           2          1         
parasites                 harassment           2          1         
sicko                     harassment           2          1         
stalker                   harassment           2          1         
parasitic                 harassment           2          1         
lousy                     general_toxicity     2          1         
maniacs                   general_toxicity     2          1         
negligence                general_toxicity     2          1         
oral                      sexual_toxicity      2          1         
manipulating              general_toxicity     2          1         
hypocrites                harassment           2          1         
fails                     general_toxicity     2          1         
atrocities                violent_speech       2          1         
thieving                  harassment           2          1         
creep                     harassment           2          1         
burns                     violent_speech       2          1         
undeserving               harassment           2          1         
unethical                 general_toxicity     2          1         
unfaithful                general_toxicity     2          1         
darn                      general_toxicity     2          1         
unstable                  harassment           2          1         
heroin                    general_toxicity     2          1         
kicks                     general_toxicity     2          1         
rancid                    general_toxicity     2          1         
incompetence              harassment           2          1         
hermit                    general_toxicity     2          1         
homophobic                harassment           2          1         
whiners                   harassment           2          1         
wimp                      harassment           2          1         
wretched                  general_toxicity     2          1         
screw                     harassment           2          1         
zombies                   general_toxicity     2          1         
sexual                    sexual_identity      1          85        
sex                       sexual_identity      1          64        
suffer                    general_toxicity     1          34        
weak                      harassment           1          32        
vomit                     general_toxicity     1          29        
cult                      general_toxicity     1          18        
arrogant                  general_toxicity     1          12        
puke                      general_toxicity     1          11        
embarrassment             general_toxicity     1          10        
cruel                     general_toxicity     1          10        
pants                     general_slang        1          9         
weird                     general_toxicity     1          8         
unappealing               general_toxicity     1          7         
hypocritical              general_toxicity     1          7         
despicable                general_toxicity     1          7         
disease                   general_toxicity     1          6         
sack                      general_toxicity     1          6         
fanatics                  general_toxicity     1          5         
coward                    harassment           1          5         
junk                      general_toxicity     1          5         
shoot                     general_toxicity     1          4         
corrupt                   general_toxicity     1          4         
corrupt                   general_toxicity     1          4         
lying                     general_toxicity     1          3         
hed                       general_toxicity     1          3         
hypocrisy                 general_toxicity     1          3         
spout                     general_toxicity     1          3         
laughable                 general_toxicity     1          2         
puking                    general_toxicity     1          2         
mindless                  general_toxicity     1          2         
crude                     general_toxicity     1          2         
shove                     general_toxicity     1          2         
sht                       general_toxicity     1          2         
deviant                   general_toxicity     1          2         
stench                    general_toxicity     1          2         
feces                     general_toxicity     1          2         
penis                     sexual_content       1          2         
closeminded               harassment           1          1         
coke                      drug_reference       1          1         
paranoid                  general_toxicity     1          1         
bang                      general_toxicity     1          1         
pissed                    general_toxicity     1          1         
rat                       general_toxicity     1          1         
trans                     sexual_identity      1          1         
transgender               sexual_identity      1          1         
poo                       general_slang        1          1         
poop                      general_slang        1          1         
corrupted                 general_toxicity     1          1         
breasts                   general_toxicity     1          1         
punch                     general_toxicity     1          1         
putrid                    general_toxicity     1          1         
absurdity                 general_toxicity     1          1         
sacks                     general_toxicity     1          1         
cowardly                  harassment           1          1         
cox                       sexual_reference     1          1         
adolf                     extremist_ref        1          1         
shooter                   general_toxicity     1          1         
vagina                    sexual_identity      1          1         
fing                      general_toxicity     1          1         
aggressive                general_toxicity     1          1         
silly                     general_toxicity     1          1         
cheating                  general_toxicity     1          1         
steal                     general_toxicity     1          1         
deluded                   general_toxicity     1          1         
cursed                    general_toxicity     1          1         
lmao                      general_toxicity     1          1         
wtf                       general_toxicity     1          1         
lust                      sexual_toxicity      1          1         
childlike                 general_toxicity     1          1         

